"province","EL_omnivore_near_ssp2","EL_omnivore_near_ssp5","adcode"
"Anhui",132318.244831775,287051.975410031,340000
"Beijing",84433.994057361,78064.4603633178,110000
"Chongqing",343537.945890784,306423.721541082,500000
"Fujian",818002.615174487,899591.091324147,350000
"Gansu",87362.5365801224,87296.3584908309,620000
"Guangdong",1190799.82222699,1213500.61199241,440000
"Guangxi",239649.004681553,405398.491140123,450000
"Guizhou",81095.2207621563,162497.479975549,520000
"Hainan",73007.4697767685,119615.203899026,460000
"Hebei",680247.885942499,928907.957277311,130000
"Heilongjiang",72988.8190658579,46364.9845054654,230000
"Henan",198949.220982735,350090.555982963,410000
"Hubei",1101513.30796252,1439486.08000332,420000
"Hunan",501682.219592241,696187.267018026,430000
"Inner_Mongolia",235812.070859849,279991.110031533,150000
"Jiangsu",440588.251837065,464610.826451381,320000
"Jiangxi",386988.91635861,613198.732045532,360000
"Jilin",113757.594288609,49979.5009231912,220000
"Liaoning",489018.401046828,347772.3013538,210000
"Ningxia",33378.6553424772,42199.7113210365,640000
"Qinghai",76238.443252336,92988.763689909,630000
"Shaanxi",124908.930987654,127803.348030451,610000
"Shandong",3399.942922833,-45800.3651391906,370000
"Shanghai",692024.287268416,460679.952346024,310000
"Shanxi",78244.0183334311,88639.6233676805,140000
"Sichuan",1306951.71682451,1046677.37254195,510000
"Tianjin",16202.8693832473,30997.4970046937,120000
"Tibet",11179.2409719744,17941.0135952613,540000
"Xinjiang",340836.039767688,745869.361311893,650000
"Yunnan",166788.646736778,164871.947675065,530000
"Zhejiang",2262615.87384587,2234793.56838355,330000
