province,EL_piscivore_near_ssp2,EL_piscivore_near_ssp5,adcode
Anhui,113994.3517,313357.7366,340000
Beijing,125085.1844,126388.0124,110000
Chongqing,424630.5922,382073.4114,500000
Fujian,944488.1372,1043065.206,350000
Gansu,113351.3328,117272.3476,620000
Guangdong,1368968.636,1471749.051,440000
Guangxi,314809.4881,547292.0453,450000
Guizhou,101959.3887,205766.4377,520000
Hainan,118533.0237,201377.4486,460000
Hebei,874463.6319,1217669.102,130000
Heilongjiang,119415.0112,78326.1146,230000
Henan,210165.9859,457984.1691,410000
Hubei,1345691.27,1853390.687,420000
Hunan,625569.4644,861908.5971,430000
Inner_Mongolia,298666.3954,348926.8008,150000
Jiangsu,343475.6742,454722.5342,320000
Jiangxi,490279.1249,778129.0591,360000
Jilin,148008.4477,67962.11365,220000
Liaoning,609741.2827,435072.9955,210000
Ningxia,41946.2306,53428.69076,640000
Qinghai,99185.43838,122159.4718,630000
Shaanxi,156912.204,168959.7728,610000
Shandong,-96993.69735,-42772.29065,370000
Shanghai,842666.9075,558037.6901,310000
Shanxi,99476.55743,122007.7127,140000
Sichuan,1822063.645,1486614.739,510000
Tianjin,6749.713326,59281.76491,120000
Tibet,14699.69645,23723.50958,540000
Xinjiang,442920.9968,978172.2027,650000
Yunnan,229897.2063,237458.077,530000
Zhejiang,2807812.065,2784003.81,330000
