"province","newborns_near_future_ssp245","delta_IQ_ssp2_near","newborns_near_future_ssp585","delta_IQ_ssp5_near","adcode"
"Anhui",638243.1,5.13268884205398e-05,459767.7,9.34927338911378e-05,340000
"Beijing",93375.36667,9.39816556503257e-05,87789.23333,5.50185631803893e-05,110000
"Chongqing",233566.8333,0.000374803460606403,176773.1667,0.000216338931981395,500000
"Fujian",296371.3333,0.000542846285098896,245548.8,0.000370820134354274,350000
"Gansu",242330.1333,0.000168528995511749,162260.8333,0.000124913844635328,620000
"Guangdong",951233.2667,0.000209723782766961,824942.0333,0.000136966235329068,440000
"Guangxi",724941.9,0.000167829220333512,541271.3333,0.000186541630601009,450000
"Guizhou",643860.9333,9.01150616969763e-05,386494.0667,0.000137632103518107,520000
"Hainan",125226.8333,0.000425114700992566,91177.33333,0.000491443722483489,460000
"Hebei",769040.9333,0.000227057787696657,562363,0.000213643456849745,130000
"Heilongjiang",153973.9,0.000113566320109992,118745.0333,4.80925696138712e-05,230000
"Henan",1125039.767,4.929177984666e-05,865650.7333,6.76825821052809e-05,410000
"Hubei",527965.6333,0.000578358883317437,414224.7667,0.000494069512035403,420000
"Hunan",693266.8667,0.000246720806294749,525754.4667,0.000215909064555506,430000
"Inner_Mongolia",189096.6333,0.000252393880878564,148021.4,0.000189215142295462,150000
"Jiangsu",556942.9667,6.34509430898722e-05,466892.7333,5.12816593868921e-05,320000
"Jiangxi",491037.7333,0.000318723203484454,388664.9333,0.000311565207493358,360000
"Jilin",104373.9667,0.00023038653957,78928.2,7.02964260961982e-05,220000
"Liaoning",172492.8333,0.000450090561783182,148093.9333,0.000196427008388334,210000
"Ningxia",79401.06667,0.000166985316049939,59376.16667,0.000142511235938301,640000
"Qinghai",52256.06667,0.000547695943226264,38920.3,0.000450777838181784,630000
"Shaanxi",261061.9333,0.000143041184770872,210638,9.53449311869675e-05,610000
"Shandong",733629.6,-1.83205589021369e-05,603277.3667,-4.95153037670617e-06,370000
"Shanghai",94537.86667,0.000641003090721002,89880.13333,0.000246591056450666,310000
"Shanxi",302428.4,7.10197153117129e-05,239827.8667,5.46316607492545e-05,140000
"Sichuan",549263.6,0.000845794448357539,409759.5333,0.000450864392831103,510000
"Tianjin",89401.13333,7.13363891133315e-06,96053.3,3.4545682439312e-05,120000
"Tibet",20292.6,0.000213485191855226,16164.23333,0.000218525868037299,540000
"Xinjiang",382054.8667,0.00037264966764479,273496.3,0.000572690045670392,650000
"Yunnan",536415.1,0.000163093397538216,337364.0667,0.000127404392133048,530000
"Zhejiang",363891.7333,0.000854499070252098,323580.0333,0.000509752106583956,330000
